"","SYMBOL","ENSEMBL","gene"
"LINC02546","LINC02546","ENSG00000255117","LINC02546"
"LINC02547","LINC02547","ENSG00000254486","LINC02547"
"LINC02548","LINC02548","ENSG00000255411","LINC02548"
"LINC02549","LINC02549","ENSG00000226497","LINC02549"
"LINC02550","LINC02550","ENSG00000271584","LINC02550"
"LINC02552","LINC02552","ENSG00000256422","LINC02552"
"LINC02554","LINC02554","ENSG00000226741","LINC02554"
"LINC02556","LINC02556","ENSG00000236611","LINC02556"
"LINC02560","LINC02560","ENSG00000268307","LINC02560"
"LINC02561","LINC02561","ENSG00000224034","LINC02561"
"LINC02563","LINC02563","ENSG00000263520","LINC02563"
"LINC02565","LINC02565","ENSG00000267726","LINC02565"
"LINC02567","LINC02567","ENSG00000237552","LINC02567"
"LINC02570","LINC02570","ENSG00000237923","LINC02570"
"LINC02571","LINC02571","ENSG00000256166","LINC02571"
"LINC02572","LINC02572","ENSG00000229536","LINC02572"
"LINC02574","LINC02574","ENSG00000233975","LINC02574"
"LINC02579","LINC02579","ENSG00000233694","LINC02579"
"LINC02582","LINC02582","ENSG00000261780","LINC02582"
"LINC02583","LINC02583","ENSG00000187600","LINC02583"
"LINC02585","LINC02585","ENSG00000228350","LINC02585"
"LINC02588","LINC02588","ENSG00000257842","LINC02588"
"LINC02591","LINC02591","ENSG00000277147","LINC02591"
"LINC02593","LINC02593","ENSG00000223764","LINC02593"
"LINC02601","LINC02601","ENSG00000223714","LINC02601"
"LINC02603","LINC02603","ENSG00000230262","LINC02603"
"LINC02606","LINC02606","ENSG00000284693","LINC02606"
"LINC02607","LINC02607","ENSG00000228971","LINC02607"
"LINC02608","LINC02608","ENSG00000226251","LINC02608"
"LINC02609","LINC02609","ENSG00000233593","LINC02609"
"LINC02610","LINC02610","ENSG00000186235","LINC02610"
"LINC02611","LINC02611","ENSG00000226791","LINC02611"
"LINC02612","LINC02612","ENSG00000224048","LINC02612"
"LINC02613","LINC02613","ENSG00000231367","LINC02613"
"LINC02614","LINC02614","ENSG00000241288","LINC02614"
"LINC02615","LINC02615","ENSG00000251432","LINC02615"
"LINC02616","LINC02616","ENSG00000261761","LINC02616"
"LINC02617","LINC02617","ENSG00000256288","LINC02617"
"LINC02619","LINC02619","ENSG00000249382","LINC02619"
"LINC02620","LINC02620","ENSG00000225768","LINC02620"
"LINC02621","LINC02621","ENSG00000234756","LINC02621"
"LINC02622","LINC02622","ENSG00000259267","LINC02622"
"LINC02623","LINC02623","ENSG00000234944","LINC02623"
"LINC02624","LINC02624","ENSG00000229775","LINC02624"
"LINC02626","LINC02626","ENSG00000236799","LINC02626"
"LINC02639","LINC02639","ENSG00000230573","LINC02639"
"LINC02641","LINC02641","ENSG00000286344","LINC02641"
"LINC02643","LINC02643","ENSG00000230109","LINC02643"
"LINC02644","LINC02644","ENSG00000230720","LINC02644"
"LINC02647","LINC02647","ENSG00000223993","LINC02647"
"LINC02649","LINC02649","ENSG00000215244","LINC02649"
"LINC02650","LINC02650","ENSG00000233945","LINC02650"
"LINC02652","LINC02652","ENSG00000237128","LINC02652"
"LINC02653","LINC02653","ENSG00000236373","LINC02653"
"LINC02654","LINC02654","ENSG00000226140","LINC02654"
"LINC02655","LINC02655","ENSG00000231082","LINC02655"
"LINC02658","LINC02658","ENSG00000234973","LINC02658"
"LINC02659","LINC02659","ENSG00000236769","LINC02659"
"LINC02662","LINC02662","ENSG00000231326","LINC02662"
"LINC02665","LINC02665","ENSG00000223581","LINC02665"
"LINC02667","LINC02667","ENSG00000224190","LINC02667"
"LINC02668","LINC02668","ENSG00000226762","LINC02668"
"LINC02669","LINC02669","ENSG00000233321","LINC02669"
"LINC02670","LINC02670","ENSG00000224788","LINC02670"
"LINC02671","LINC02671","ENSG00000224714","LINC02671"
"LINC02676","LINC02676","ENSG00000234752","LINC02676"
"LINC02677","LINC02677","ENSG00000242147","LINC02677"
"LINC02679","LINC02679","ENSG00000226676","LINC02679"
"LINC02681","LINC02681","ENSG00000229649","LINC02681"
"LINC02682","LINC02682","ENSG00000254661","LINC02682"
"LINC02683","LINC02683","ENSG00000254438","LINC02683"
"LINC02684","LINC02684","ENSG00000255512","LINC02684"
"LINC02685","LINC02685","ENSG00000254654","LINC02685"
"LINC02686","LINC02686","ENSG00000254594","LINC02686"
"LINC02687","LINC02687","ENSG00000255267","LINC02687"
"LINC02688","LINC02688","ENSG00000254872","LINC02688"
"LINC02691","LINC02691","ENSG00000258913","LINC02691"
"LINC02693","LINC02693","ENSG00000212719","LINC02693"
"LINC02694","LINC02694","ENSG00000175779","LINC02694"
"LINC02696","LINC02696","ENSG00000254427","LINC02696"
"LINC02701","LINC02701","ENSG00000250508","LINC02701"
"LINC02702","LINC02702","ENSG00000237937","LINC02702"
"LINC02709","LINC02709","ENSG00000245522","LINC02709"
"LINC02711","LINC02711","ENSG00000255183","LINC02711"
"LINC02712","LINC02712","ENSG00000273409","LINC02712"
"LINC02713","LINC02713","ENSG00000255502","LINC02713"
"LINC02714","LINC02714","ENSG00000251226","LINC02714"
"LINC02715","LINC02715","ENSG00000254659","LINC02715"
"LINC02716","LINC02716","ENSG00000205106","LINC02716"
"LINC02717","LINC02717","ENSG00000285735","LINC02717"
"LINC02719","LINC02719","ENSG00000254580","LINC02719"
"LINC02720","LINC02720","ENSG00000255178","LINC02720"
"LINC02721","LINC02721","ENSG00000255133","LINC02721"
"LINC02724","LINC02724","ENSG00000181908","LINC02724"
"LINC02728","LINC02728","ENSG00000251323","LINC02728"
"LINC02729","LINC02729","ENSG00000255335","LINC02729"
"LINC02731","LINC02731","ENSG00000204241","LINC02731"
"LINC02733","LINC02733","ENSG00000255553","LINC02733"
"LINC02734","LINC02734","ENSG00000255382","LINC02734"
"LINC02735","LINC02735","ENSG00000255433","LINC02735"
"LINC02737","LINC02737","ENSG00000256684","LINC02737"
"LINC02742","LINC02742","ENSG00000249867","LINC02742"
"LINC02743","LINC02743","ENSG00000255258","LINC02743"
"LINC02746","LINC02746","ENSG00000282916","LINC02746"
"LINC02747","LINC02747","ENSG00000255774","LINC02747"
"LINC02749","LINC02749","ENSG00000254480","LINC02749"
"LINC02751","LINC02751","ENSG00000254946","LINC02751"
"LINC02753","LINC02753","ENSG00000248844","LINC02753"
"LINC02759","LINC02759","ENSG00000255175","LINC02759"
"LINC02760","LINC02760","ENSG00000254516","LINC02760"
"LINC02762","LINC02762","ENSG00000250303","LINC02762"
"LINC02763","LINC02763","ENSG00000254968","LINC02763"
"LINC02764","LINC02764","ENSG00000255484","LINC02764"
"LINC02771","LINC02771","ENSG00000224535","LINC02771"
"LINC02774","LINC02774","ENSG00000226828","LINC02774"
"LINC02776","LINC02776","ENSG00000224977","LINC02776"
"LINC02777","LINC02777","ENSG00000232453","LINC02777"
"LINC02780","LINC02780","ENSG00000284668","LINC02780"
"LINC02781","LINC02781","ENSG00000284674","LINC02781"
"LINC02783","LINC02783","ENSG00000204362","LINC02783"
"LINC02789","LINC02789","ENSG00000231718","LINC02789"
"LINC02790","LINC02790","ENSG00000237435","LINC02790"
"LINC02793","LINC02793","ENSG00000285823","LINC02793"
"LINC02798","LINC02798","ENSG00000227082","LINC02798"
"LINC02800","LINC02800","ENSG00000230023","LINC02800"
"LINC02801","LINC02801","ENSG00000284240","LINC02801"
"LINC02802","LINC02802","ENSG00000232527","LINC02802"
"LINC02805","LINC02805","ENSG00000232265","LINC02805"
"LINC02808","LINC02808","ENSG00000284696","LINC02808"
"LINC02809","LINC02809","ENSG00000276255","LINC02809"
"LINC02810","LINC02810","ENSG00000236648","LINC02810"
"LINC02817","LINC02817","ENSG00000234754","LINC02817"
"LINC02822","LINC02822","ENSG00000286021","LINC02822"
"LINC02826","LINC02826","ENSG00000275212","LINC02826"
"LINC02828","LINC02828","ENSG00000224164","LINC02828"
"LINC02829","LINC02829","ENSG00000229274","LINC02829"
"LINC02831","LINC02831","ENSG00000224173","LINC02831"
"LINC02834","LINC02834","ENSG00000285686","LINC02834"
"LINC02835","LINC02835","ENSG00000285711","LINC02835"
"LINC02837","LINC02837","ENSG00000264464","LINC02837"
"LINC02838","LINC02838","ENSG00000285536","LINC02838"
"LINC02839","LINC02839","ENSG00000254123","LINC02839"
"LINC02840","LINC02840","ENSG00000224893","LINC02840"
"LINC02841","LINC02841","ENSG00000267407","LINC02841"
"LINC02843","LINC02843","ENSG00000228189","LINC02843"
"LINC02844","LINC02844","ENSG00000253679","LINC02844"
"LINC02845","LINC02845","ENSG00000253644","LINC02845"
"LINC02849","LINC02849","ENSG00000285768","LINC02849"
"LINC02850","LINC02850","ENSG00000236436","LINC02850"
"LINC02852","LINC02852","ENSG00000285866","LINC02852"
"LINC02856","LINC02856","ENSG00000285594","LINC02856"
"LINC02857","LINC02857","ENSG00000230852","LINC02857"
"LINC02858","LINC02858","ENSG00000285869","LINC02858"
"LINC02860","LINC02860","ENSG00000222004","LINC02860"
"LINCADL","LINCADL","ENSG00000287148","LINCADL"
"LINGO1","LINGO1","ENSG00000169783","LINGO1"
"LINGO1-AS1","LINGO1-AS1","ENSG00000259666","LINGO1-AS1"
"LINGO1-AS2","LINGO1-AS2","ENSG00000259281","LINGO1-AS2"
"LINGO2","LINGO2","ENSG00000174482","LINGO2"
"LINGO3","LINGO3","ENSG00000220008","LINGO3"
"LINGO4","LINGO4","ENSG00000213171","LINGO4"
"LINS1","LINS1","ENSG00000140471","LINS1"
"LIPA","LIPA","ENSG00000107798","LIPA"
"LIPC","LIPC","ENSG00000166035","LIPC"
"LIPC-AS1","LIPC-AS1","ENSG00000259293","LIPC-AS1"
"LIPE","LIPE","ENSG00000079435","LIPE"
"LIPE-AS1","LIPE-AS1","ENSG00000213904","LIPE-AS1"
"LIPF","LIPF","ENSG00000182333","LIPF"
"LIPG","LIPG","ENSG00000101670","LIPG"
"LIPH","LIPH","ENSG00000163898","LIPH"
"LIPI","LIPI","ENSG00000188992","LIPI"
"LIPJ","LIPJ","ENSG00000204022","LIPJ"
"LIPK","LIPK","ENSG00000204021","LIPK"
"LIPM","LIPM","ENSG00000173239","LIPM"
"LIPN","LIPN","ENSG00000204020","LIPN"
"LIPT1","LIPT1","ENSG00000144182","LIPT1"
"LIPT2","LIPT2","ENSG00000175536","LIPT2"
"LITAF","LITAF","ENSG00000189067","LITAF"
"LITAFD","LITAFD","ENSG00000283516","LITAFD"
"LIX1","LIX1","ENSG00000145721","LIX1"
"LIX1L","LIX1L","ENSG00000271601","LIX1L"
"LIX1L-AS1","LIX1L-AS1","ENSG00000234222","LIX1L-AS1"
"LKAAEAR1","LKAAEAR1","ENSG00000171695","LKAAEAR1"
"LLCFC1","LLCFC1","ENSG00000165131","LLCFC1"
"LLGL1","LLGL1","ENSG00000131899","LLGL1"
"LLGL2","LLGL2","ENSG00000073350","LLGL2"
"LLPH","LLPH","ENSG00000139233","LLPH"
"LLPH-DT","LLPH-DT","ENSG00000239335","LLPH-DT"
"LMAN1","LMAN1","ENSG00000074695","LMAN1"
"LMAN1L","LMAN1L","ENSG00000140506","LMAN1L"
"LMAN2","LMAN2","ENSG00000169223","LMAN2"
"LMAN2L","LMAN2L","ENSG00000114988","LMAN2L"
"LMBR1","LMBR1","ENSG00000105983","LMBR1"
"LMBR1L","LMBR1L","ENSG00000139636","LMBR1L"
"LMBRD1","LMBRD1","ENSG00000168216","LMBRD1"
"LMBRD2","LMBRD2","ENSG00000164187","LMBRD2"
"LMCD1","LMCD1","ENSG00000071282","LMCD1"
"LMCD1-AS1","LMCD1-AS1","ENSG00000227110","LMCD1-AS1"
"LMF1","LMF1","ENSG00000103227","LMF1"
"LMF1-AS1","LMF1-AS1","ENSG00000260439","LMF1-AS1"
"LMF2","LMF2","ENSG00000100258","LMF2"
"LMLN","LMLN","ENSG00000185621","LMLN"
"LMLN-AS1","LMLN-AS1","ENSG00000232832","LMLN-AS1"
"LMLN2","LMLN2","ENSG00000283654","LMLN2"
"LMNA","LMNA","ENSG00000160789","LMNA"
"LMNB1","LMNB1","ENSG00000113368","LMNB1"
"LMNB1-DT","LMNB1-DT","ENSG00000251072","LMNB1-DT"
"LMNB2","LMNB2","ENSG00000176619","LMNB2"
"LMNTD1","LMNTD1","ENSG00000152936","LMNTD1"
"LMNTD2","LMNTD2","ENSG00000185522","LMNTD2"
"LMO1","LMO1","ENSG00000166407","LMO1"
"LMO2","LMO2","ENSG00000135363","LMO2"
"LMO3","LMO3","ENSG00000048540","LMO3"
"LMO4","LMO4","ENSG00000143013","LMO4"
"LMO7","LMO7","ENSG00000136153","LMO7"
"LMO7-AS1","LMO7-AS1","ENSG00000261105","LMO7-AS1"
"LMO7DN","LMO7DN","ENSG00000178734","LMO7DN"
"LMO7DN-IT1","LMO7DN-IT1","ENSG00000223458","LMO7DN-IT1"
"LMOD1","LMOD1","ENSG00000163431","LMOD1"
"LMOD2","LMOD2","ENSG00000170807","LMOD2"
"LMOD3","LMOD3","ENSG00000163380","LMOD3"
"LMTK2","LMTK2","ENSG00000164715","LMTK2"
"LMTK3","LMTK3","ENSG00000142235","LMTK3"
"LMX1A","LMX1A","ENSG00000162761","LMX1A"
"LMX1B","LMX1B","ENSG00000136944","LMX1B"
"LNCAROD","LNCAROD","ENSG00000231131","LNCAROD"
"LNCARSR","LNCARSR","ENSG00000233086","LNCARSR"
"LNCNEF","LNCNEF","ENSG00000237396","LNCNEF"
"LNCOC1","LNCOC1","ENSG00000253741","LNCOC1"
"LNCOG","LNCOG","ENSG00000257219","LNCOG"
"LNCPRESS1","LNCPRESS1","ENSG00000232301","LNCPRESS1"
"LNCSRLR","LNCSRLR","ENSG00000240032","LNCSRLR"
"LNCTAM34A","LNCTAM34A","ENSG00000234546","LNCTAM34A"
"LNP1","LNP1","ENSG00000206535","LNP1"
"LNPEP","LNPEP","ENSG00000113441","LNPEP"
"LNPK","LNPK","ENSG00000144320","LNPK"
"LNX1","LNX1","ENSG00000072201","LNX1"
"LNX1-AS1","LNX1-AS1","ENSG00000250930","LNX1-AS1"
"LNX2","LNX2","ENSG00000139517","LNX2"
"LOH12CR2","LOH12CR2","ENSG00000205791","LOH12CR2"
"LONP1","LONP1","ENSG00000196365","LONP1"
"LONP2","LONP2","ENSG00000102910","LONP2"
"LONRF1","LONRF1","ENSG00000154359","LONRF1"
"LONRF2","LONRF2","ENSG00000170500","LONRF2"
"LONRF3","LONRF3","ENSG00000175556","LONRF3"
"LOX","LOX","ENSG00000113083","LOX"
"LOXHD1","LOXHD1","ENSG00000167210","LOXHD1"
"LOXL1","LOXL1","ENSG00000129038","LOXL1"
"LOXL1-AS1","LOXL1-AS1","ENSG00000261801","LOXL1-AS1"
"LOXL2","LOXL2","ENSG00000134013","LOXL2"
"LOXL3","LOXL3","ENSG00000115318","LOXL3"
"LOXL4","LOXL4","ENSG00000138131","LOXL4"
"LPA","LPA","ENSG00000198670","LPA"
"LPAR1","LPAR1","ENSG00000198121","LPAR1"
"LPAR2","LPAR2","ENSG00000064547","LPAR2"
"LPAR3","LPAR3","ENSG00000171517","LPAR3"
"LPAR4","LPAR4","ENSG00000147145","LPAR4"
"LPAR5","LPAR5","ENSG00000184574","LPAR5"
"LPAR6","LPAR6","ENSG00000139679","LPAR6"
"LPCAT1","LPCAT1","ENSG00000153395","LPCAT1"
"LPCAT2","LPCAT2","ENSG00000087253","LPCAT2"
"LPCAT3","LPCAT3","ENSG00000111684","LPCAT3"
"LPCAT4","LPCAT4","ENSG00000176454","LPCAT4"
"LPGAT1","LPGAT1","ENSG00000123684","LPGAT1"
"LPGAT1-AS1","LPGAT1-AS1","ENSG00000229258","LPGAT1-AS1"
"LPIN1","LPIN1","ENSG00000134324","LPIN1"
"LPIN2","LPIN2","ENSG00000101577","LPIN2"
"LPIN3","LPIN3","ENSG00000132793","LPIN3"
"LPL","LPL","ENSG00000175445","LPL"
"LPO","LPO","ENSG00000167419","LPO"
"LPP","LPP","ENSG00000145012","LPP"
"LPP-AS1","LPP-AS1","ENSG00000224563","LPP-AS1"
"LPP-AS2","LPP-AS2","ENSG00000270959","LPP-AS2"
"LPXN","LPXN","ENSG00000110031","LPXN"
"LRAT","LRAT","ENSG00000121207","LRAT"
"LRATD1","LRATD1","ENSG00000162981","LRATD1"
"LRATD2","LRATD2","ENSG00000168672","LRATD2"
"LRBA","LRBA","ENSG00000198589","LRBA"
"LRCH1","LRCH1","ENSG00000136141","LRCH1"
"LRCH2","LRCH2","ENSG00000130224","LRCH2"
"LRCH3","LRCH3","ENSG00000186001","LRCH3"
"LRCH4","LRCH4","ENSG00000077454","LRCH4"
"LRCOL1","LRCOL1","ENSG00000204583","LRCOL1"
"LRFN1","LRFN1","ENSG00000128011","LRFN1"
"LRFN2","LRFN2","ENSG00000156564","LRFN2"
"LRFN3","LRFN3","ENSG00000126243","LRFN3"
"LRFN4","LRFN4","ENSG00000173621","LRFN4"
"LRFN5","LRFN5","ENSG00000165379","LRFN5"
"LRG1","LRG1","ENSG00000171236","LRG1"
"LRGUK","LRGUK","ENSG00000155530","LRGUK"
"LRIF1","LRIF1","ENSG00000121931","LRIF1"
"LRIG1","LRIG1","ENSG00000144749","LRIG1"
"LRIG2","LRIG2","ENSG00000198799","LRIG2"
"LRIG2-DT","LRIG2-DT","ENSG00000238198","LRIG2-DT"
"LRIG3","LRIG3","ENSG00000139263","LRIG3"
"LRIT1","LRIT1","ENSG00000148602","LRIT1"
"LRIT2","LRIT2","ENSG00000204033","LRIT2"
"LRIT3","LRIT3","ENSG00000183423","LRIT3"
"LRMDA","LRMDA","ENSG00000148655","LRMDA"
"LRP1","LRP1","ENSG00000123384","LRP1"
"LRP1-AS","LRP1-AS","ENSG00000259125","LRP1-AS"
"LRP10","LRP10","ENSG00000197324","LRP10"
"LRP11","LRP11","ENSG00000120256","LRP11"
"LRP12","LRP12","ENSG00000147650","LRP12"
"LRP1B","LRP1B","ENSG00000168702","LRP1B"
"LRP2","LRP2","ENSG00000081479","LRP2"
"LRP2BP","LRP2BP","ENSG00000109771","LRP2BP"
"LRP3","LRP3","ENSG00000130881","LRP3"
"LRP4","LRP4","ENSG00000134569","LRP4"
"LRP4-AS1","LRP4-AS1","ENSG00000247675","LRP4-AS1"
"LRP5","LRP5","ENSG00000162337","LRP5"
"LRP5L","LRP5L","ENSG00000100068","LRP5L"
"LRP6","LRP6","ENSG00000070018","LRP6"
"LRP8","LRP8","ENSG00000157193","LRP8"
"LRPAP1","LRPAP1","ENSG00000163956","LRPAP1"
"LRPPRC","LRPPRC","ENSG00000138095","LRPPRC"
"LRR1","LRR1","ENSG00000165501","LRR1"
"LRRC1","LRRC1","ENSG00000137269","LRRC1"
"LRRC10","LRRC10","ENSG00000198812","LRRC10"
"LRRC10B","LRRC10B","ENSG00000204950","LRRC10B"
"LRRC14","LRRC14","ENSG00000160959","LRRC14"
"LRRC14B","LRRC14B","ENSG00000185028","LRRC14B"
"LRRC15","LRRC15","ENSG00000172061","LRRC15"
"LRRC17","LRRC17","ENSG00000128606","LRRC17"
"LRRC18","LRRC18","ENSG00000165383","LRRC18"
"LRRC19","LRRC19","ENSG00000184434","LRRC19"
"LRRC2","LRRC2","ENSG00000163827","LRRC2"
"LRRC2-AS1","LRRC2-AS1","ENSG00000268324","LRRC2-AS1"
"LRRC20","LRRC20","ENSG00000172731","LRRC20"
"LRRC23","LRRC23","ENSG00000010626","LRRC23"
"LRRC24","LRRC24","ENSG00000254402","LRRC24"
"LRRC25","LRRC25","ENSG00000175489","LRRC25"
"LRRC26","LRRC26","ENSG00000184709","LRRC26"
"LRRC27","LRRC27","ENSG00000148814","LRRC27"
"LRRC28","LRRC28","ENSG00000168904","LRRC28"
"LRRC29","LRRC29","ENSG00000125122","LRRC29"
"LRRC3","LRRC3","ENSG00000160233","LRRC3"
"LRRC3-DT","LRRC3-DT","ENSG00000229356","LRRC3-DT"
"LRRC30","LRRC30","ENSG00000206422","LRRC30"
"LRRC31","LRRC31","ENSG00000114248","LRRC31"
"LRRC32","LRRC32","ENSG00000137507","LRRC32"
"LRRC34","LRRC34","ENSG00000171757","LRRC34"
"LRRC36","LRRC36","ENSG00000159708","LRRC36"
"LRRC37A","LRRC37A","ENSG00000176681","LRRC37A"
"LRRC37A2","LRRC37A2","ENSG00000238083","LRRC37A2"
"LRRC37A3","LRRC37A3","ENSG00000176809","LRRC37A3"
"LRRC37B","LRRC37B","ENSG00000185158","LRRC37B"
"LRRC38","LRRC38","ENSG00000162494","LRRC38"
"LRRC39","LRRC39","ENSG00000122477","LRRC39"
"LRRC3B","LRRC3B","ENSG00000179796","LRRC3B"
"LRRC3C","LRRC3C","ENSG00000204913","LRRC3C"
"LRRC4","LRRC4","ENSG00000128594","LRRC4"
"LRRC40","LRRC40","ENSG00000066557","LRRC40"
"LRRC41","LRRC41","ENSG00000132128","LRRC41"
"LRRC42","LRRC42","ENSG00000116212","LRRC42"
"LRRC43","LRRC43","ENSG00000158113","LRRC43"
"LRRC45","LRRC45","ENSG00000169683","LRRC45"
"LRRC46","LRRC46","ENSG00000141294","LRRC46"
"LRRC47","LRRC47","ENSG00000130764","LRRC47"
"LRRC49","LRRC49","ENSG00000137821","LRRC49"
"LRRC4B","LRRC4B","ENSG00000131409","LRRC4B"
"LRRC4C","LRRC4C","ENSG00000148948","LRRC4C"
"LRRC52","LRRC52","ENSG00000162763","LRRC52"
"LRRC52-AS1","LRRC52-AS1","ENSG00000237463","LRRC52-AS1"
"LRRC53","LRRC53","ENSG00000162621","LRRC53"
"LRRC55","LRRC55","ENSG00000183908","LRRC55"
"LRRC56","LRRC56","ENSG00000161328","LRRC56"
"LRRC57","LRRC57","ENSG00000180979","LRRC57"
"LRRC58","LRRC58","ENSG00000163428","LRRC58"
"LRRC59","LRRC59","ENSG00000108829","LRRC59"
"LRRC6","LRRC6","ENSG00000129295","LRRC6"
"LRRC61","LRRC61","ENSG00000127399","LRRC61"
"LRRC63","LRRC63","ENSG00000173988","LRRC63"
"LRRC66","LRRC66","ENSG00000188993","LRRC66"
"LRRC69","LRRC69","ENSG00000214954","LRRC69"
"LRRC7","LRRC7","ENSG00000033122","LRRC7"
"LRRC70","LRRC70","ENSG00000186105","LRRC70"
"LRRC71","LRRC71","ENSG00000160838","LRRC71"
"LRRC72","LRRC72","ENSG00000205858","LRRC72"
"LRRC73","LRRC73","ENSG00000204052","LRRC73"
"LRRC74A","LRRC74A","ENSG00000100565","LRRC74A"
"LRRC74B","LRRC74B","ENSG00000187905","LRRC74B"
"LRRC75A","LRRC75A","ENSG00000181350","LRRC75A"
"LRRC75B","LRRC75B","ENSG00000178026","LRRC75B"
"LRRC8A","LRRC8A","ENSG00000136802","LRRC8A"
"LRRC8B","LRRC8B","ENSG00000197147","LRRC8B"
"LRRC8C","LRRC8C","ENSG00000171488","LRRC8C"
"LRRC8C-DT","LRRC8C-DT","ENSG00000231999","LRRC8C-DT"
"LRRC8D","LRRC8D","ENSG00000171492","LRRC8D"
"LRRC8E","LRRC8E","ENSG00000171017","LRRC8E"
"LRRC9","LRRC9","ENSG00000131951","LRRC9"
"LRRCC1","LRRCC1","ENSG00000133739","LRRCC1"
"LRRD1","LRRD1","ENSG00000240720","LRRD1"
"LRRFIP1","LRRFIP1","ENSG00000124831","LRRFIP1"
"LRRFIP2","LRRFIP2","ENSG00000093167","LRRFIP2"
"LRRIQ1","LRRIQ1","ENSG00000133640","LRRIQ1"
"LRRIQ3","LRRIQ3","ENSG00000162620","LRRIQ3"
"LRRIQ4","LRRIQ4","ENSG00000188306","LRRIQ4"
"LRRK1","LRRK1","ENSG00000154237","LRRK1"
"LRRK2","LRRK2","ENSG00000188906","LRRK2"
"LRRN1","LRRN1","ENSG00000175928","LRRN1"
"LRRN2","LRRN2","ENSG00000170382","LRRN2"
"LRRN3","LRRN3","ENSG00000173114","LRRN3"
"LRRN4","LRRN4","ENSG00000125872","LRRN4"
"LRRN4CL","LRRN4CL","ENSG00000177363","LRRN4CL"
"LRRTM1","LRRTM1","ENSG00000162951","LRRTM1"
"LRRTM2","LRRTM2","ENSG00000146006","LRRTM2"
"LRRTM3","LRRTM3","ENSG00000198739","LRRTM3"
"LRRTM4","LRRTM4","ENSG00000176204","LRRTM4"
"LRSAM1","LRSAM1","ENSG00000148356","LRSAM1"
"LRTM1","LRTM1","ENSG00000144771","LRTM1"
"LRTM2","LRTM2","ENSG00000166159","LRTM2"
"LRTOMT","LRTOMT","ENSG00000184154","LRTOMT"
"LRWD1","LRWD1","ENSG00000161036","LRWD1"
"LSAMP","LSAMP","ENSG00000185565","LSAMP"
"LSAMP-AS1","LSAMP-AS1","ENSG00000240922","LSAMP-AS1"
"LSG1","LSG1","ENSG00000041802","LSG1"
"LSINCT5","LSINCT5","ENSG00000281560","LSINCT5"
"LSM1","LSM1","ENSG00000175324","LSM1"
"LSM10","LSM10","ENSG00000181817","LSM10"
"LSM11","LSM11","ENSG00000155858","LSM11"
"LSM12","LSM12","ENSG00000161654","LSM12"
"LSM14A","LSM14A","ENSG00000257103","LSM14A"
"LSM14B","LSM14B","ENSG00000149657","LSM14B"
"LSM2","LSM2","ENSG00000204392","LSM2"
"LSM3","LSM3","ENSG00000170860","LSM3"
"LSM4","LSM4","ENSG00000130520","LSM4"
"LSM5","LSM5","ENSG00000106355","LSM5"
"LSM6","LSM6","ENSG00000164167","LSM6"
"LSM7","LSM7","ENSG00000130332","LSM7"
"LSM8","LSM8","ENSG00000128534","LSM8"
"LSMEM1","LSMEM1","ENSG00000181016","LSMEM1"
"LSMEM2","LSMEM2","ENSG00000179564","LSMEM2"
"LSP1","LSP1","ENSG00000130592","LSP1"
"LSR","LSR","ENSG00000105699","LSR"
"LSS","LSS","ENSG00000160285","LSS"
"LST1","LST1","ENSG00000204482","LST1"
"LTA","LTA","ENSG00000226979","LTA"
"LTA4H","LTA4H","ENSG00000111144","LTA4H"
"LTB","LTB","ENSG00000227507","LTB"
"LTB4R","LTB4R","ENSG00000213903","LTB4R"
"LTB4R2","LTB4R2","ENSG00000213906","LTB4R2"
"LTBP1","LTBP1","ENSG00000049323","LTBP1"
"LTBP2","LTBP2","ENSG00000119681","LTBP2"
"LTBP3","LTBP3","ENSG00000168056","LTBP3"
"LTBP4","LTBP4","ENSG00000090006","LTBP4"
"LTBR","LTBR","ENSG00000111321","LTBR"
"LTC4S","LTC4S","ENSG00000213316","LTC4S"
"LTF","LTF","ENSG00000012223","LTF"
"LTK","LTK","ENSG00000062524","LTK"
"LTN1","LTN1","ENSG00000198862","LTN1"
"LTO1","LTO1","ENSG00000149716","LTO1"
"LTV1","LTV1","ENSG00000135521","LTV1"
"LUADT1","LUADT1","ENSG00000196634","LUADT1"
"LUARIS","LUARIS","ENSG00000231638","LUARIS"
"LUC7L","LUC7L","ENSG00000007392","LUC7L"
"LUC7L2","LUC7L2","ENSG00000146963","LUC7L2"
"LUC7L3","LUC7L3","ENSG00000108848","LUC7L3"
"LUCAT1","LUCAT1","ENSG00000248323","LUCAT1"
"LUM","LUM","ENSG00000139329","LUM"
"LURAP1","LURAP1","ENSG00000171357","LURAP1"
"LURAP1L","LURAP1L","ENSG00000153714","LURAP1L"
"LURAP1L-AS1","LURAP1L-AS1","ENSG00000235448","LURAP1L-AS1"
"LUZP1","LUZP1","ENSG00000169641","LUZP1"
"LUZP2","LUZP2","ENSG00000187398","LUZP2"
"LUZP4","LUZP4","ENSG00000102021","LUZP4"
"LUZP6","LUZP6","ENSG00000105887","LUZP6"
"LVRN","LVRN","ENSG00000172901","LVRN"
"LXN","LXN","ENSG00000079257","LXN"
"LY6D","LY6D","ENSG00000167656","LY6D"
"LY6E","LY6E","ENSG00000160932","LY6E"
"LY6G5B","LY6G5B","ENSG00000240053","LY6G5B"
"LY6G5C","LY6G5C","ENSG00000204428","LY6G5C"
